Region,tabasco,sriracha,year
Louisiana,0.78,0.22,2012
Vermont,0.19,0.81,2012
Nebraska,0.31,0.69,2012
Maine,0.2,0.8,2012
Oregon,0.33,0.67,2012
District of Columbia,0.32,0.68,2012
Texas,0.62,0.38,2012
Washington,0.36,0.64,2012
Alaska,0.41,0.59,2012
Massachusetts,0.3,0.7,2012
Pennsylvania,0.33,0.67,2012
California,0.38,0.62,2012
New York,0.53,0.47,2012
Virginia,0.43,0.57,2012
Minnesota,0.32,0.68,2012
Iowa,0.27,0.73,2012
Kansas,0.4,0.6,2012
North Dakota,0.53,0.47,2012
Arizona,0.43,0.57,2012
Rhode Island,0.32,0.68,2012
New Hampshire,0.35,0.65,2012
New Jersey,0.35,0.65,2012
Wisconsin,0.39,0.61,2012
Maryland,0.41,0.59,2012
Illinois,0.42,0.58,2012
Colorado,0.42,0.58,2012
South Carolina,0.38,0.62,2012
Indiana,0.42,0.58,2012
Ohio,0.39,0.61,2012
Montana,0.34,0.66,2012
North Carolina,0.39,0.61,2012
Tennessee,0.41,0.59,2012
Michigan,0.37,0.63,2012
Oklahoma,0.51,0.49,2012
Kentucky,0.39,0.61,2012
Missouri,0.46,0.54,2012
New Mexico,0.49,0.51,2012
Utah,0.4,0.6,2012
Florida,0.43,0.57,2012
Connecticut,0.48,0.52,2012
Nevada,0.48,0.52,2012
Idaho,0.44,0.56,2012
Mississippi,0.53,0.47,2012
Hawaii,0.45,0.55,2012
Delaware,0.41,0.59,2012
Georgia,0.46,0.54,2012
Arkansas,0.48,0.52,2012
Alabama,0.49,0.51,2012
West Virginia,0.48,0.52,2012
Wyoming,0.45,0.55,2012
South Dakota,0.57,0.43,2012
